qid,query,elapsed_sec,rapl_pkg_j,n_tables,n_join
2189,queries/stackoverflow/SQLStorm/2189.sql,15.056978,89.10479736328125,3,2
22180,queries/stackoverflow/SQLStorm/22180.sql,15.185846,85.5626220703125,5,5
2263,queries/stackoverflow/SQLStorm/2263.sql,15.211973,85.90380859375,4,5
22641,queries/stackoverflow/SQLStorm/22641.sql,15.283209,86.98504638671875,6,6
22783,queries/stackoverflow/SQLStorm/22783.sql,15.071793,91.0322265625,4,4
22945,queries/stackoverflow/SQLStorm/22945.sql,15.065684,239.20562744140625,5,7
23122,queries/stackoverflow/SQLStorm/23122.sql,15.066418,87.37823486328125,4,4
23193,queries/stackoverflow/SQLStorm/23193.sql,15.27436,86.82830810546875,4,3
2326,queries/stackoverflow/SQLStorm/2326.sql,15.073046,228.82727050781247,4,5
23779,queries/stackoverflow/SQLStorm/23779.sql,15.192923,86.79791259765625,3,4
23780,queries/stackoverflow/SQLStorm/23780.sql,15.264662,163.25152587890625,6,6
23846,queries/stackoverflow/SQLStorm/23846.sql,15.311007,151.38043212890625,6,6
23955,queries/stackoverflow/SQLStorm/23955.sql,15.073601,89.41448974609375,6,6
24190,queries/stackoverflow/SQLStorm/24190.sql,15.06795,235.51226806640625,7,7
24372,queries/stackoverflow/SQLStorm/24372.sql,15.213376,86.99829101562499,6,7
24555,queries/stackoverflow/SQLStorm/24555.sql,15.181078,85.2061767578125,5,5
24582,queries/stackoverflow/SQLStorm/24582.sql,15.26948,89.5252685546875,5,4
24866,queries/stackoverflow/SQLStorm/24866.sql,15.079526,218.028076171875,6,6
24889,queries/stackoverflow/SQLStorm/24889.sql,15.204414,86.4052734375,6,7
24973,queries/stackoverflow/SQLStorm/24973.sql,15.122248,245.20861816406247,4,4
25058,queries/stackoverflow/SQLStorm/25058.sql,15.23988,153.85296630859375,4,5
25060,queries/stackoverflow/SQLStorm/25060.sql,15.083686,243.829345703125,5,7
25392,queries/stackoverflow/SQLStorm/25392.sql,15.286541,98.45745849609376,4,6
25571,queries/stackoverflow/SQLStorm/25571.sql,15.071918,251.47741699218753,4,4
25611,queries/stackoverflow/SQLStorm/25611.sql,15.234826,85.9482421875,2,4
25770,queries/stackoverflow/SQLStorm/25770.sql,15.220028,88.87689208984375,5,6
25788,queries/stackoverflow/SQLStorm/25788.sql,15.236516,86.1214599609375,5,2
25827,queries/stackoverflow/SQLStorm/25827.sql,15.065666,86.77221679687501,5,7
25861,queries/stackoverflow/SQLStorm/25861.sql,15.173651,85.6427001953125,5,6
26058,queries/stackoverflow/SQLStorm/26058.sql,15.253082,231.87469482421875,4,5
26304,queries/stackoverflow/SQLStorm/26304.sql,15.226972,90.15411376953124,7,8
26314,queries/stackoverflow/SQLStorm/26314.sql,15.21534,152.507568359375,5,6
26340,queries/stackoverflow/SQLStorm/26340.sql,15.065764,247.89794921875,3,3
26400,queries/stackoverflow/SQLStorm/26400.sql,15.069362,231.64276123046875,5,6
26403,queries/stackoverflow/SQLStorm/26403.sql,15.094467,231.20404052734372,5,9
26420,queries/stackoverflow/SQLStorm/26420.sql,15.072109,243.07537841796875,4,4
26431,queries/stackoverflow/SQLStorm/26431.sql,15.071962,228.94274902343753,5,8
26534,queries/stackoverflow/SQLStorm/26534.sql,15.066052,240.1181640625,5,4
26537,queries/stackoverflow/SQLStorm/26537.sql,15.112975,231.060546875,4,5
26640,queries/stackoverflow/SQLStorm/26640.sql,15.061147,90.42803955078125,4,5
2668,queries/stackoverflow/SQLStorm/2668.sql,15.105925,97.2894287109375,5,5
26702,queries/stackoverflow/SQLStorm/26702.sql,15.070073,233.45452880859372,3,4
26704,queries/stackoverflow/SQLStorm/26704.sql,15.32139,257.7513427734375,3,3
26717,queries/stackoverflow/SQLStorm/26717.sql,15.074097,224.9033203125,4,4
26829,queries/stackoverflow/SQLStorm/26829.sql,15.067086,242.79803466796875,3,3
26835,queries/stackoverflow/SQLStorm/26835.sql,15.138897,241.475830078125,6,6
26868,queries/stackoverflow/SQLStorm/26868.sql,15.103508,253.60485839843753,4,4
