qid,query,elapsed_sec,rapl_pkg_j,n_tables,n_join,category
11825,queries/tpch/SQLStorm/11825.sql,15.121164,252.10369873046875,6,5,timeout
11828,queries/tpch/SQLStorm/11828.sql,15.114043,248.95935058593753,6,5,timeout
11850,queries/tpch/SQLStorm/11850.sql,15.061375,88.9122314453125,5,4,timeout
1191,queries/tpch/SQLStorm/1191.sql,15.174257,119.001953125,6,7,timeout
11940,queries/tpch/SQLStorm/11940.sql,15.170341,118.734619140625,5,4,timeout
11953,queries/tpch/SQLStorm/11953.sql,15.082426,88.59393310546875,5,4,timeout
11962,queries/tpch/SQLStorm/11962.sql,15.233958,252.39892578125,7,6,timeout
11985,queries/tpch/SQLStorm/11985.sql,15.122955,94.2791748046875,5,4,timeout
1199,queries/tpch/SQLStorm/1199.sql,15.143612,86.30883789062499,8,11,timeout
11990,queries/tpch/SQLStorm/11990.sql,15.116754,248.30755615234372,7,6,timeout
11991,queries/tpch/SQLStorm/11991.sql,15.249759,240.75964355468753,6,5,timeout
12009,queries/tpch/SQLStorm/12009.sql,15.060324,86.41583251953125,5,4,timeout
12024,queries/tpch/SQLStorm/12024.sql,15.067377,91.42437744140624,4,3,timeout
12093,queries/tpch/SQLStorm/12093.sql,15.064961,90.19281005859376,4,3,timeout
12109,queries/tpch/SQLStorm/12109.sql,15.117419,249.52111816406247,7,6,timeout
1211,queries/tpch/SQLStorm/1211.sql,15.375354,85.73120117187501,5,4,timeout
12144,queries/tpch/SQLStorm/12144.sql,15.083109,87.7005615234375,5,4,timeout
12170,queries/tpch/SQLStorm/12170.sql,15.063856,90.62725830078125,4,3,timeout
12173,queries/tpch/SQLStorm/12173.sql,15.06662,89.38916015625,4,3,timeout
12181,queries/tpch/SQLStorm/12181.sql,15.119602,250.53118896484372,7,6,timeout
1219,queries/tpch/SQLStorm/1219.sql,15.055637,84.86712646484375,5,4,timeout
12192,queries/tpch/SQLStorm/12192.sql,15.16219,189.64654541015625,3,2,timeout
12193,queries/tpch/SQLStorm/12193.sql,15.065158,90.34112548828125,4,3,timeout
1221,queries/tpch/SQLStorm/1221.sql,15.089988,82.275390625,6,6,timeout
1222,queries/tpch/SQLStorm/1222.sql,15.065075,87.05303955078125,5,4,timeout
12234,queries/tpch/SQLStorm/12234.sql,15.168797,189.605712890625,3,2,timeout
12257,queries/tpch/SQLStorm/12257.sql,15.117526,136.84832763671875,5,4,timeout
12274,queries/tpch/SQLStorm/12274.sql,15.083053,88.63653564453125,5,4,timeout
123,queries/tpch/SQLStorm/123.sql,15.083822,93.10101318359376,6,7,timeout
12309,queries/tpch/SQLStorm/12309.sql,15.093753,224.28985595703125,3,2,timeout
1231,queries/tpch/SQLStorm/1231.sql,15.161483,133.23736572265625,6,10,timeout
1232,queries/tpch/SQLStorm/1232.sql,15.088609,83.01483154296875,6,6,timeout
12342,queries/tpch/SQLStorm/12342.sql,15.142392,186.68719482421875,6,5,timeout
